ID,rank,scientificName
Helmitherinae,subfamily,"Helmitherinae"
Vermivorinae,subfamily,"Vermivorinae"
Geothlypinae,subfamily,"Geothlypinae"
Parulinae,subfamily,"Parulinae"
Basileuterinae,subfamily,"Basileuterinae"
Mitrospingidae,family,"Mitrospingidae"
Cardinalidae,family,"Cardinalidae"
Thraupidae,family,"Thraupidae"
Thraupinae,subfamily,"Thraupinae"
Catamblyrhynchini,tribe,"Catamblyrhynchini"
Porphyrospizini,tribe,"Porphyrospizini"
Orchesticini,tribe,"Orchesticini"
Pipraeideini,tribe,"Pipraeideini"
Cissopini,tribe,"Cissopini"
Thraupini,tribe,"Thraupini"
Dacninae,subfamily,"Dacninae"
Nemosiini,tribe,"Nemosiini"
Conirostrini,tribe,"Conirostrini"
Diglossini,tribe,"Diglossini"
Hemithraupini,tribe,"Hemithraupini"
Tachyphonini,tribe,"Tachyphonini"
Charitospizini,tribe,"Charitospizini"
Dacnini,tribe,"Dacnini"
Emberizoidini,tribe,"Emberizoidini"
Saltatorini,tribe,"Saltatorini"
Poospizini,tribe,"Poospizini"
Coerebini,tribe,"Coerebini"
Sporophilini,tribe,"Sporophilini"
